,producoes
63," silva, l. e. p.; silva, l. r. ; golin, a. l. m. m. ; barros, b. r. g. s. ; machado, m. o. ; neves, a. p.  ; neco, b. m. p. ; loio, g. x. ; souza, s. c. s. b. ; jimenez, l. f. s.  ; ribeiro, v. s. . ii hackathon ala voti. 2018. (concurso).  "
64,"silva, l. e. p.2010  silva, l. e. p.; bracht, e. c. . uma nova abordagem para o calculo de balanco hidrico climatologico. revista brasileira de computacao aplicada, v. 2, p. 2-16, 2010. citacoes:1 "
65," barros, k. o. s.2019barros, k. o. s. ; silva, luciano edipo pereira da ; neves, y. p. ; silva, l. r. . parceria empresa-universidade para pesquisa em ti. revista etcpan, v. 2, p. 37, 2019.  "
66," silva, l. e. p.2010  silva, l. e. p.; bracht, e. c. . uma nova abordagem para o calculo de balanco hidrico climatologico. revista brasileira de computacao aplicada, v. 2, p. 2-16, 2010. citacoes:1 "
67," nascimento, fabiana ; silva, lucineide da ; nonato, karla ; silva, luciano edipo pereira da  . uma proposta de jogo educacional para o ensino e aprendizagem de  geometria. in: xxviii simposio brasileiro de informatica na educacao  sbie (brazilian symposium on computers in education), 2017, recife.  porto alegre: sociedade brasileira de computacao, 2017. p. 1757-1759.  "
68," sousa, raphael de ; silva, luciano edipo pereira da  . bravo sistema web de apoio a pesquisa em educacao. in: iv congresso  brasileiro de informatica na educacao, 2015, maceio. p. 105-114.  "
69," fietz, c. r. ; novachinsk, j. r. ; silva, l. e. p. ; lima, r. v.  . irriweb: uma ferramenta para definir o manejo racional da irrigacao.  in: ii simposio sobre inovacao e criatividade cientifica na embrapa,  2010, brasilia. anais do ii simposio sobre inovacao e criatividade  cientifica na embrapa, 2010.  "
70,"   silva, l. e. p.; bracht, e. c.  . uma nova abordagem para o calculo do balanco hidrico climatologico.  in: i simposio de computacao aplicada, 2009, passo fundo - rs. anais do i  simposio de computacao aplicada 2176-8196. passo fundo - rs: editora  upf, 2009. v. 1.  "
71,"   fietz, c. r. ; comunello, e ; silva, l. e. p. ; souza, p. s.  . sistema de monitoramento agroclimatico da regiao de dourados, ms. in:  7o congresso brasileiro de agroinformatica - sbiagro 2009, 2009, vicosa  - mg. anais do 7. congresso brasileiro de agroinformatica, 2009.  "
72,"   silva, l. e. p.; paiva, d. m. b. ; barbosa, e. f. ; braga, r. t. v. ; cagnin, m. i.  . onto-resasset development: an ontology for reusable assets  specification and management. in: 26th international conference on  software engineering and knowledge engineering (seke 2014), 2014,  vancouver. 26th international conference on software engineering and  knowledge engineering (seke 2014). skokie: knowledge systems institute  graduate school, 2014. p. 459-462.  "
73," silva, l. e. p.; bracht, e. c. . uma nova abordagem para o calculo do balanco hidrico climatologico. 2009. (apresentacao de trabalho/simposio).  "
74," neco, b. m. p. ; silva, l. e. p. ; silva, l. r. . identificacao de dominio para jogos educacionais digitais 2017 (trabalho de conclusao de curso).  "
75,"   silva, l. e. p.. onto-resasset: ontologia de ativos reutilizaveis 2013 (dissertacao mestrado).  "
76," silva, l. e. p.. virtualizacao do museu de arqueologia do pantanal. 2019.  "
77," fermino, l. m. ; silva, l. e. p. ; asseis neto, h. . reconhecedor otico de caracteres em documentos da lingua portuguesa com baixa nitidez. 2013.  "
78," silva, l. e. p.; bracht, e. c. ; fietz, c. r. . bhcmovel. 2009.  "
79," silva, l. e. p.. php basico com mysql - iii semana tecnica de computacao setec. 2009. (curso de curta duracao ministrado/extensao).  "
80," silva, l. e. p..  etiqueta na internet e compulsao - vii semana unificada de informatica  infoweek. 2007. (curso de curta duracao ministrado/extensao).  "
81," vargas, j. c. ; silva, l. e. p. ; santos, b. a. ; riedner, d. d. t. ; silva, l. r. . alfabrinque. 2016.                  patente:                 programa de computador.             numero do registro: br512017000043-3, data de registro:                      01/09/2016, titulo: ""alfabrinque"" , instituicao de  registro: inpi - instituto nacional da propriedade industrial.                    "
82," silva, l. e. p.; silva, l. r. ; castro, a. l. s. ; guia, k. r. ; barros, k. o. s. ; cruz, a. c. ; gutierrez junior, j. l. b. ; silva, n. m. s. ; almeida, s. c. v. ; neves, a. p. . siane - sistema de informacao para ambiente nao escolar. 2018.                  patente:                 programa de computador.             numero do registro: br512018052228-9, data de registro:                      20/09/2018, titulo: ""siane - sistema de informacao  para ambiente nao escolar"" , instituicao de registro: inpi - instituto  nacional da propriedade industrial.                    "
83," silva, l. e. p.; riedner, d. d. t. ; vidal, v. h. ; rodrigues, b. l. a. ; valente, v. o. ; silva, v. l. l. ; guidorizzi, v. a. . tutorar. 2021.                  patente:                 programa de computador.             numero do registro: br512021000562-7, data de registro:                      30/03/2021, titulo: ""tutorar"" , instituicao de  registro: inpi - instituto nacional da propriedade industrial.                    "
84," silva, l. e. p.; laitart, k. r. ; peterle, n. p. ; rambo, c. ; mello, c. a. s. ; vidal, v. h. . cadeia de custodia. 2021.                  patente:                 programa de computador.             numero do registro: br512021000563-5, data de registro:                      30/03/2021, titulo: ""cadeia de custodia"" ,  instituicao de registro: inpi - instituto nacional da propriedade  industrial.                    "
85," monteiro, a. c. s.; lima, c. a.; silva, l. e. p..   participacao em banca de elis andrea pimentel medina. estudo de caso  das condicionalidades do programa bolsa familia no cras de navirai-ms.  2016. monografia (aperfeicoamento/especializacao em especializacao em  educacao pobreza e desigualdade)  - universidade federal de mato grosso  do sul.  "
86," machado, m. o.; silva, l. e. p.; neves, a. p..   participacao em banca de thiago soquere ferreira.sistema de irrigacao  de jardim utilizando a plataforma arduino. 							2016. trabalho de conclusao de curso (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul.  "
87," machado, m. o.; silva, l. e. p.; neves, a. p..  participacao em banca de thiago soquere ferreira.sistema de irrigacao de jardim utilizando a plataforma arduino. 							2016.  "
88," rodrigues, r. r.; silva, l. e. p.;  santos, a. m..  participacao em banca de gabriela winkler da costa e  silva.luiz vilela : acervo videografico ? o canal do gplv, grupo de  pesquisa luiz vilela no yotube. 							2015. trabalho de conclusao de curso (graduacao em letras -  portugues e ingles)  - universidade federal de mato grosso do sul.  "
89," araujo, f. e. s.; silva, l. e. p.; barros, b. r. g. s.. concurso publico - edital progep 042/2014. 							2014. universidade federal de mato grosso do sul.  "
90," barros, b. r. g. s.; gomes, a. o.; silva, l. e. p.; sueira, s. c.. selecao de professor substituto do curso de sistemas de informacao/cpan. 							2014. universidade federal de mato grosso do sul.  "
91, integra ufms 2019. avaliacao de 10 (dez) trabalho(s) apresentado(s) na modalidade banner. 2019. (exposicao).  
92, semana da computacao 2019. 							2019. (encontro).  					 
93, feira de ciencias e tecnologias do pantanal - fecipan. avaliacao dos trabalhos cientificos. 2014. (feira).  
94, x simposio brasileiro de sistemas de informacao. 							2014. (simposio).  					 
95, i simposio de computacao aplicada.uma nova abordagem para o calculo do balanco hidrico climatologico. 							2009. (simposio).  					 
96, i congresso de computacao da grande dourados - ccgd. 2008. (congresso).  
97, 50o congresso da uniao nacional de estudantes. 2007. (congresso).  
98, vii semana unificada de informatica - infoweek 2007. 2007. (outra).  					 
99, iv semana da matematica. 2006. (outra).  					 
100, vi infoweek - semana unificada de informatica. 2006. (outra).  					 
101, xi congresso universitario dce/uems. 2006. (congresso).  
